,mutual_info
ret_4,0.0012520482338933547
below_pdl,0.0011821483575280567
donch_pos_96,0.001181199986885595
ema50_dist,0.0011496944444107093
var_ratio_4_96,0.0010963522419755733
range_atr_l2,0.001067875390404538
rsi14_l2,0.001066413192662985
cci20,0.000985800835544115
is_830_window,0.0009091104481249168
dist_day_low,0.0009087742575122348
mins_to_ny_close,0.0008846768775518932
dist_pml,0.0008757670165997489
fvg_bear_32,0.0008600971729570972
ret_32,0.0008098671246918876
gap_atr_l1,0.0007977678388249032
hrs_to_nfp,0.0007895535136572818
bb_pos_l2,0.0007706677301744236
adx14,0.0007429515631791617
stoch_d,0.0007379933588516074
vol_expansion_l2,0.0007066126201764611
days_to_event,0.0006542169103727069
ret_96,0.0005883188374755655
up_frac_3,0.0005857678162515256
close_pos_l2,0.0005518972884921425
day_range_atr,0.0005361305742090927
hour_sin,0.0005330412956459085
is_1400_window,0.0005326292563623269
sess_overlap,0.0005199140400811153
ret_1_l1,0.0005038817916043214
rsi7,0.0004808816073600397
dist_r50,0.0004687632281168419
ret_z_480,0.00044930278543420243
dist_pdh,0.00042201992451618153
is_sunday_open,0.0003935889437451934
close_streak,0.0003875040424139442
dist_vwap_day,0.0003414660174705375
ema50_slope,0.0003310035214885154
dist_pmh,0.00019942144488771518
adx14_l2,0.00017938438165687742
absret_z_l2,0.0001566450859984414
range_atr_l1,0.00013863188309670704
dist_pwl,0.00011006861314566407
is_1000_window,8.954116776083154e-05
dnwick_frac,8.821691305893609e-05
div_rsi,6.915885504055197e-05
month,5.3823034440014794e-05
lr_r2_96,4.842995389875426e-05
choch,3.233702947857964e-05
vol_expansion,1.3911855224257863e-05
di_diff_l1,1.385800194020348e-05
efficiency_1,1.3692836734691127e-05
bos_up_l1,1.318991430476757e-05
dist_pp,6.656843127395007e-06
donch_width_96,0.0
donch_width_20,0.0
bb_width,0.0
rv_1,0.0
atr14_p,0.0
macd_hist_slope,0.0
macd_n,0.0
lr_slope_20,0.0
close_pos,0.0
body_frac,0.0
gap_atr,0.0
inside_bar,0.0
ema200_dist,0.0
ema100_dist,0.0
ema100_slope,0.0
up_frac_8,0.0
body_atr,0.0
range_atr,0.0
ret_z_16,0.0
atr_ratio,0.0
rv_z_96,0.0
range_sum_z,0.0
m1_imb,0.0
bars_since_bos,0.0
bos_dn,0.0
structure,0.0
bos_up,0.0
sweep_low_8,0.0
sweep_high_8,0.0
sweep_high,0.0
fvg_bear,0.0
hour_cos,0.0
dist_vwap_96,0.0
dist_pwh,0.0
dist_s1,0.0
dist_day_high,0.0
dist_pdc,0.0
compression_20,0.0
absret_z,0.0
mins_since_ny_open,0.0
weekend_gap_atr,0.0
after_gap,0.0
is_nfp_day,0.0
is_ny_open_hour,0.0
is_london_open_hour,0.0
is_friday_pm,0.0
bar_gap_min,0.0
ret_1_l2,0.0
gap_atr_l2,0.0
efficiency_1_l1,0.0
macd_hist_n_l2,0.0
stoch_k_l2,0.0
efficiency_1_l2,0.0
sweep_high_l1,0.0
sweep_high_l2,0.0
bos_dn_l2,0.0
bos_dn_l1,0.0
sweep_low_l1,0.0
sweep_low_l2,0.0
adx14_l1,0.0
dist_vwap_day_l2,0.0
di_diff_l2,0.0
absret_z_l1,0.0
